Lag1,Lag2
-0.014,0.733
-2.478,-0.014
0.327,-2.478
0.145,0.327
-1.973,0.145
-0.465,-1.973
-3.006,-0.465
0.245,-3.006
-1.383,0.245
-1.728,-1.383
2.486,-1.728
1.821,2.486
-3.226,1.821
-1.461,-3.226
4.002,-1.461
-2.359,4.002
-1.082,-2.359
-2.243,-1.082
-1.911,-2.243
1.69,-1.911
-2.729,1.69
3.497,-2.729
3.906,3.497
0.733,3.906
4.734,0.733
-2.411,4.734
2.23,-2.411
0.59,2.23
1.733,0.59
-1.063,1.733
0.672,-1.063
-1.522,0.672
1.717,-1.522
-0.827,1.717
-0.908,-0.827
0.97,-0.908
-0.556,0.97
1.716,-0.556
0.82,1.716
0.775,0.82
0.914,0.775
-2.285,0.914
-0.876,-2.285
-2.073,-0.876
0.772,-2.073
-0.048,0.772
2.463,-0.048
0.615,2.463
-1.041,0.615
-0.402,-1.041
1.941,-0.402
2.145,1.941
-0.344,2.145
0.249,-0.344
-2.097,0.249
2.799,-2.097
-0.273,2.799
-0.19,-0.273
-1.475,-0.19
-0.344,-1.475
-1.202,-0.344
0.627,-1.202
-2.218,0.627
1.396,-2.218
0.056,1.396
-0.373,0.056
-1.342,-0.373
2.352,-1.342
-0.814,2.352
-1.315,-0.814
-0.771,-1.315
1.302,-0.771
0.181,1.302
-0.547,0.181
-0.315,-0.547
-1.603,-0.315
0.456,-1.603
0.049,0.456
3.32,0.049
-0.048,3.32
2.247,-0.048
-0.654,2.247
-1.409,-0.654
1.939,-1.409
0,1.939
-0.141,0
0.583,-0.141
-1.443,0.583
-0.394,-1.443
-1.402,-0.394
-1.57,-1.402
-1.043,-1.57
1.022,-1.043
-2.923,1.022
-1.616,-2.923
1.305,-1.616
0.678,1.305
-2.285,0.678
1.313,-2.285
0.54,1.313
-1.409,0.54
-0.544,-1.409
-0.645,-0.544
-1.009,-0.645
0.757,-1.009
-0.81,0.757
-1.269,-0.81
-0.16,-1.269
2.143,-0.16
1.95,2.143
-0.71,1.95
-0.95,-0.71
1.322,-0.95
-1.838,1.322
0.719,-1.838
-1.314,0.719
1.176,-1.314
0.462,1.176
-0.754,0.462
-1.536,-0.754
0.956,-1.536
-0.934,0.956
0.826,-0.934
-2.583,0.826
-0.836,-2.583
0.432,-0.836
3.446,0.432
0.165,3.446
3.543,0.165
0.424,3.543
0.874,0.424
0.189,0.874
2.298,0.189
-3.523,2.298
1.216,-3.523
-0.548,1.216
-0.164,-0.548
-0.578,-0.164
-1.774,-0.578
1.214,-1.774
2.612,1.214
-0.505,2.612
0.274,-0.505
0.123,0.274
-0.186,0.123
-1.4,-0.186
0.646,-1.4
-0.376,0.646
1.95,-0.376
0.63,1.95
-1.224,0.63
1.554,-1.224
-0.176,1.554
2.17,-0.176
0.839,2.17
-0.826,0.839
-1.385,-0.826
1.783,-1.385
0.328,1.783
-0.1,0.328
-0.068,-0.1
1.504,-0.068
-0.38,1.504
0.846,-0.38
-0.51,0.846
-1.006,-0.51
1.428,-1.006
1.253,1.428
-0.297,1.253
-0.32,-0.297
0.787,-0.32
-0.25,0.787
-2.492,-0.25
-0.113,-2.492
0.401,-0.113
0.915,0.401
0.145,0.915
1.957,0.145
0.183,1.957
-0.376,0.183
1.469,-0.376
0.354,1.469
0.472,0.354
1.511,0.472
0.395,1.511
-0.24,0.395
-1.198,-0.24
0.913,-1.198
1.283,0.913
0.103,1.283
-0.991,0.103
2.238,-0.991
0.091,2.238
-0.155,0.091
-1.524,-0.155
0.1,-1.524
-1.411,0.1
0.184,-1.411
-0.827,0.184
1.077,-0.827
-0.974,1.077
-0.176,-0.974
0.802,-0.176
1.164,0.802
-0.81,1.164
1.899,-0.81
0.34,1.899
-0.559,0.34
-1.348,-0.559
0.955,-1.348
0.573,0.955
-0.343,0.573
-0.633,-0.343
-1.243,-0.633
1.181,-1.243
-1.462,1.181
0.951,-1.462
0.051,0.951
-0.709,0.051
1.74,-0.709
-0.216,1.74
-0.727,-0.216
-0.181,-0.727
0.286,-0.181
-1.026,0.286
0.272,-1.026
-1.766,0.272
0.168,-1.766
0.728,0.168
0.356,0.728
0.307,0.356
0.995,0.307
-0.638,0.995
0.659,-0.638
0.016,0.659
0.916,0.016
0.261,0.916
-0.205,0.261
0.297,-0.205
-1.018,0.297
0.065,-1.018
0.304,0.065
0.006,0.304
0.607,0.006
0.516,0.607
1.387,0.516
0.419,1.387
0.166,0.419
-0.64,0.166
1.004,-0.64
-0.821,1.004
-1.197,-0.821
0.544,-1.197
0.217,0.544
-0.375,0.217
1.43,-0.375
-0.325,1.43
1.327,-0.325
-0.316,1.327
-1.301,-0.316
0.607,-1.301
-1.91,0.607
-0.605,-1.91
-0.64,-0.605
0.976,-0.64
-1.054,0.976
2.234,-1.054
0.198,2.234
0.942,0.198
0.437,0.942
0.474,0.437
-0.526,0.474
0.479,-0.526
-0.065,0.479
0.702,-0.065
0.395,0.702
-0.259,0.395
0.316,-0.259
-1.024,0.316
0.516,-1.024
0.129,0.516
-1.498,0.129
0.331,-1.498
-0.47,0.331
0.216,-0.47
1.519,0.216
0.126,1.519
-0.112,0.126
0.36,-0.112
0.791,0.36
-0.545,0.791
-0.137,-0.545
0.593,-0.137
-0.457,0.593
-0.579,-0.457
-0.052,-0.579
1.143,-0.052
-0.011,1.143
-0.762,-0.011
-0.64,-0.762
-0.908,-0.64
0.802,-0.908
-0.843,0.802
0.158,-0.843
1.623,0.158
0.172,1.623
0.433,0.172
-0.024,0.433
1.126,-0.024
-0.327,1.126
-0.177,-0.327
0.469,-0.177
-0.768,0.469
0.735,-0.768
-0.853,0.735
-0.107,-0.853
1.148,-0.107
0.274,1.148
-0.568,0.274
0.664,-0.568
0.126,0.664
1.18,0.126
-0.048,1.18
0.393,-0.048
0.282,0.393
-0.181,0.282
0.169,-0.181
1.24,0.169
0.014,1.24
0.205,0.014
-0.309,0.205
1.24,-0.309
0.129,1.24
0.237,0.129
0.496,0.237
-0.889,0.496
0.479,-0.889
-0.533,0.479
0.829,-0.533
0.135,0.829
0.687,0.135
-0.093,0.687
0.777,-0.093
-0.321,0.777
-0.209,-0.321
1.211,-0.209
-0.98,1.211
-1.361,-0.98
0.499,-1.361
-0.263,0.499
0.365,-0.263
0.068,0.365
-0.837,0.068
0.184,-0.837
1.256,0.184
-0.258,1.256
0.503,-0.258
1.067,0.503
-0.488,1.067
-0.547,-0.488
0.976,-0.547
-0.447,0.976
-0.413,-0.447
-0.257,-0.413
-0.273,-0.257
-0.167,-0.273
0.402,-0.167
0.108,0.402
0.003,0.108
0.963,0.003
-0.594,0.963
0.168,-0.594
0.334,0.168
0.172,0.334
-0.835,0.172
-0.577,-0.835
-1.463,-0.577
-1.522,-1.463
1.246,-1.522
-1.435,1.246
0.562,-1.435
1.175,0.562
-0.127,1.175
-1.117,-0.127
-1.296,-1.117
-0.132,-1.296
-0.239,-0.132
1.637,-0.239
-0.102,1.637
1.3,-0.102
0.404,1.3
-0.07,0.404
0.529,-0.07
0.851,0.529
0.767,0.851
-0.209,0.767
-0.665,-0.209
-0.106,-0.665
0.516,-0.106
-1.376,0.516
-0.112,-1.376
0.059,-0.112
0.511,0.059
0.107,0.511
-1.556,0.107
0.531,-1.556
1.409,0.531
0.059,1.409
-0.445,0.059
0.227,-0.445
-1.379,0.227
-0.759,-1.379
-0.592,-0.759
0.92,-0.592
0.184,0.92
0.177,0.184
-0.672,0.177
-1.373,-0.672
-1.054,-1.373
0.766,-1.054
0.167,0.766
-0.077,0.167
-0.067,-0.077
-1.059,-0.067
0.682,-1.059
-0.257,0.682
0.047,-0.257
0.401,0.047
0.169,0.401
1.61,0.169
0.17,1.61
0.569,0.17
-0.054,0.569
0.046,-0.054
0.338,0.046
-0.742,0.338
0.525,-0.742
1.596,0.525
0.154,1.596
-0.95,0.154
0.454,-0.95
-0.984,0.454
0.597,-0.984
0.137,0.597
-0.133,0.137
0.262,-0.133
-0.416,0.262
0.364,-0.416
0.851,0.364
-0.298,0.851
-0.545,-0.298
-0.095,-0.545
0.251,-0.095
0.408,0.251
-1.043,0.408
-0.315,-1.043
-0.815,-0.315
0.19,-0.815
-0.824,0.19
0.334,-0.824
0.138,0.334
0.071,0.138
-0.329,0.071
-0.43,-0.329
-0.479,-0.43
-0.044,-0.479
0.706,-0.044
-1.334,0.706
0.271,-1.334
-0.97,0.271
-0.196,-0.97
0.993,-0.196
0.054,0.993
0.457,0.054
0.117,0.457
0.445,0.117
-0.626,0.445
-0.096,-0.626
-1.632,-0.096
-1.548,-1.632
0.117,-1.548
1.297,0.117
-0.301,1.297
-1.168,-0.301
0.148,-1.168
1.366,0.148
0.22,1.366
1.244,0.22
-0.36,1.244
0.652,-0.36
-0.243,0.652
0.047,-0.243
0.8,0.047
0.012,0.8
0.243,0.012
-0.778,0.243
0.463,-0.778
0.151,0.463
1.121,0.151
-0.418,1.121
0.689,-0.418
-0.449,0.689
0.189,-0.449
0.495,0.189
0.169,0.495
0.223,0.169
-0.705,0.223
0.279,-0.705
0.449,0.279
-0.563,0.449
0.633,-0.563
-1.394,0.633
-0.467,-1.394
0.158,-0.467
-0.594,0.158
0.593,-0.594
0.427,0.593
-0.02,0.427
1.518,-0.02
0.324,1.518
-0.061,0.324
0.667,-0.061
-0.998,0.667
-0.753,-0.998
0.201,-0.753
-0.227,0.201
-0.73,-0.227
-0.93,-0.73
0.445,-0.93
0.525,0.445
-0.969,0.525
0.039,-0.969
0.256,0.039
-0.972,0.256
-0.086,-0.972
1.488,-0.086
1.288,1.488
0.181,1.288
0.245,0.181
0.027,0.245
0.004,0.027
1.118,0.004
1.616,1.118
0.387,1.616
-0.11,0.387
-0.07,-0.11
-0.101,-0.07
0.909,-0.101
0.911,0.909
-0.03,0.911
-0.708,-0.03
0.554,-0.708
0.136,0.554
-1.116,0.136
0.59,-1.116
-0.025,0.59
0.41,-0.025
0.075,0.41
-0.345,0.075
-0.403,-0.345
1.495,-0.403
-0.087,1.495
0.071,-0.087
-0.077,0.071
-1.107,-0.077
0.488,-1.107
0.544,0.488
-0.104,0.544
0.899,-0.104
0.392,0.899
0.194,0.392
-0.208,0.194
-0.749,-0.208
0.038,-0.749
0.904,0.038
0.342,0.904
0.046,0.342
-0.431,0.046
0.715,-0.431
-0.007,0.715
0.008,-0.007
